1,1
2,2
93,3
4,4
5,5
6,6
7,7
8,8
18,16
26,26
36,36
46,46
56,56
66,66
74,76
84,84
92,92
91,91
90,90
89,89
88,88
87,87
86,86
85,85
75,77
67,67
57,57
47,47
37,37
27,27
19,17
94,9
10,10
11,11
95,12
13,1396,14
15,15
16,25
17,35
35,45
45,55
55,65
65,75
83,83
82,82
81,81
80,80
79,79
78,78
77,68
76,58
58,48
48,38
38,28
28,18
20,19
97,20
22,21
23,22
24,23
25,24
34,34
44,44
54,54
64,64
73,74
72,73
71,72
70,71
69,70
68,69
59,59
49,49
99,39
29,29
30,30
98,31
32,32
33,33
43,43
53,53
63,63
102,62
61,61
60,60
50,50
40,40
41,41
42,42
101,52
100,51
